time,frequency,confidence
2.340,559.464,0.880900
2.344,559.995,0.870197
2.348,560.195,0.872534
2.352,560.460,0.866868
2.356,560.735,0.874380
2.360,560.995,0.874683
2.364,560.986,0.882114
2.368,560.964,0.876733
2.372,560.890,0.882422
2.376,560.832,0.878738
2.380,560.695,0.879940
2.384,560.360,0.884432
2.388,560.448,0.882439
2.392,560.141,0.892131
2.396,559.948,0.890370
2.400,559.655,0.899083
2.404,559.306,0.902398
2.408,559.001,0.910481
2.412,558.816,0.907870
2.416,558.576,0.913430
2.420,558.521,0.912029
2.424,558.542,0.916173
2.428,558.718,0.910943
2.432,558.685,0.915024
2.436,558.811,0.910308
2.440,559.008,0.907820
2.444,559.042,0.908621
2.448,559.291,0.902240
2.452,559.294,0.905014
2.456,559.539,0.900124
2.460,559.506,0.902138
2.464,559.520,0.899256
2.468,559.184,0.906809
2.472,558.765,0.898651
2.476,558.251,0.893928
2.480,557.700,0.870229
2.484,557.202,0.815293
2.488,555.366,0.734099
2.492,554.253,0.698285
2.496,552.165,0.488377
2.500,603.201,0.763118
2.504,660.015,0.851953
2.508,661.385,0.896914
2.512,661.719,0.899381
2.516,661.319,0.916395
2.520,661.044,0.894723
2.524,660.415,0.884145
2.528,660.348,0.877388
2.532,660.263,0.877599
2.536,661.134,0.899051
2.540,661.769,0.902832
2.544,661.902,0.919528
2.548,662.246,0.912962
2.552,662.776,0.922628
2.556,663.421,0.910570
2.560,663.182,0.905273
2.564,664.165,0.885890
2.568,664.369,0.880277
2.572,664.507,0.889810
2.576,664.755,0.846230
2.580,664.711,0.830234
2.584,665.332,0.802072
2.588,665.379,0.784253
2.592,666.135,0.725490
2.596,666.157,0.708246
2.600,666.035,0.616761
2.604,666.244,0.606183
2.608,665.921,0.633133
2.612,666.699,0.620077
2.616,666.513,0.636847
2.620,667.263,0.638404
2.624,666.503,0.715655
2.628,667.517,0.741355
2.632,667.018,0.802620
2.636,667.474,0.825412
2.640,667.213,0.849277
2.644,666.973,0.867953
2.648,666.639,0.891287
2.652,666.108,0.904168
2.656,665.854,0.917091
2.660,665.310,0.925555
2.664,664.850,0.927394
2.668,663.873,0.940643
2.672,663.155,0.944533
2.676,662.078,0.946778
2.680,661.174,0.948176
2.684,660.787,0.951932
2.688,660.169,0.951336
2.692,660.034,0.954063
2.696,659.977,0.952661
2.700,660.041,0.952466
2.704,660.373,0.946159
2.708,661.459,0.940576
2.712,661.839,0.921245
2.716,662.417,0.906798
2.720,662.680,0.873261
2.724,662.520,0.815744
2.728,662.590,0.806030
2.732,663.204,0.787090
2.736,664.657,0.688384
2.740,665.032,0.504534
2.744,588.888,0.300283
2.748,531.439,0.200163
2.752,466.428,0.333067
2.756,465.932,0.447655
2.760,465.861,0.453021
2.764,465.682,0.484764
2.768,465.943,0.457254
2.772,465.758,0.504169
2.776,465.885,0.505888
2.780,465.657,0.487215
2.784,465.903,0.499067
2.788,466.096,0.563525
2.792,466.635,0.644904
2.796,466.863,0.755843
2.800,467.258,0.831870
2.804,467.350,0.892380
2.808,467.806,0.914752
2.812,468.310,0.938971
2.816,468.891,0.942280
2.820,469.348,0.950943
2.824,470.104,0.945602
2.828,470.752,0.934238
2.832,471.288,0.918036
2.836,471.483,0.916881
2.840,471.567,0.923124
2.844,471.255,0.927070
2.848,470.901,0.933597
2.852,470.324,0.945474
2.856,469.421,0.959157
2.860,468.576,0.965146
2.864,468.200,0.964315
2.868,467.917,0.966448
2.872,467.681,0.963663
2.876,467.572,0.962914
2.880,467.346,0.958100
2.884,467.436,0.958415
2.888,467.447,0.957550
2.892,467.469,0.957687
2.896,467.626,0.956231
2.900,467.873,0.960229
2.904,468.270,0.960131
2.908,468.411,0.963170
2.912,468.732,0.963059
2.916,469.181,0.959776
2.920,469.811,0.956111
2.924,470.257,0.949379
2.928,470.851,0.934439
2.932,471.563,0.912919
2.936,472.323,0.930439
2.940,472.655,0.943145
2.944,472.983,0.946776
2.948,473.176,0.948210
2.952,473.226,0.948870
2.956,473.375,0.948608
2.960,473.492,0.947150
2.964,473.652,0.943846
2.968,473.727,0.939035
2.972,473.817,0.935706
2.976,473.804,0.934339
2.980,473.893,0.931817
2.984,473.821,0.924199
2.988,473.753,0.922523
2.992,473.713,0.915836
2.996,473.452,0.908344
3.000,473.185,0.893004
3.004,473.087,0.882529
3.008,472.635,0.864146
3.012,472.381,0.863082
3.016,472.304,0.874708
3.020,472.148,0.871784
3.024,471.971,0.877492
3.028,471.766,0.891409
3.032,471.601,0.902292
3.036,471.981,0.924546
3.040,471.966,0.928435
