time,frequency,confidence
2.056,497.686,0.945197
2.060,497.605,0.939851
2.064,497.571,0.932482
2.068,497.665,0.917899
2.072,497.809,0.902122
2.076,498.241,0.876502
2.080,498.338,0.841049
2.084,498.267,0.798269
2.088,497.762,0.648986
2.092,497.277,0.534076
2.096,495.877,0.408017
2.100,547.451,0.270577
2.104,581.810,0.419529
2.108,583.428,0.670903
2.112,584.713,0.743753
2.116,585.529,0.827328
2.120,586.130,0.856071
2.124,586.466,0.886964
2.128,586.716,0.919477
2.132,586.906,0.933742
2.136,586.820,0.938330
2.140,586.841,0.947776
2.144,586.756,0.948758
2.148,586.674,0.947052
2.152,586.590,0.945206
2.156,586.580,0.943362
2.160,586.536,0.946131
2.164,586.575,0.951454
2.168,586.584,0.951455
2.172,586.532,0.952479
2.176,586.673,0.957901
2.180,586.669,0.956271
2.184,586.779,0.955940
2.188,587.068,0.963814
2.192,587.224,0.966067
2.196,587.518,0.968660
2.200,587.916,0.972734
2.204,588.067,0.975575
2.208,588.389,0.976978
2.212,588.674,0.979029
2.216,588.847,0.980740
2.220,588.911,0.982566
2.224,589.235,0.983656
2.228,589.587,0.984930
2.232,589.784,0.985741
2.236,589.992,0.984095
2.240,590.346,0.982623
2.244,590.682,0.982048
2.248,590.931,0.978920
2.252,591.312,0.974588
2.256,591.578,0.973973
2.260,591.719,0.970292
2.264,592.141,0.963614
2.268,591.874,0.964895
2.272,591.683,0.969825
2.276,591.169,0.973802
2.280,590.682,0.979282
2.284,590.326,0.982596
2.288,589.759,0.985176
2.292,589.265,0.987175
2.296,588.572,0.987532
2.300,588.073,0.985881
2.304,587.569,0.982021
2.308,587.235,0.981067
2.312,586.979,0.974719
2.316,587.116,0.966981
2.320,587.028,0.954145
2.324,586.879,0.938166
2.328,586.043,0.904088
2.332,584.895,0.857461
2.336,581.645,0.807746
2.340,577.725,0.789496
2.344,575.279,0.856964
2.348,574.315,0.816731
2.352,572.650,0.763738
2.356,570.790,0.670628
2.360,566.363,0.609244
2.364,564.628,0.635530
2.368,565.502,0.664409
2.372,567.745,0.730695
2.376,568.581,0.854695
2.380,568.218,0.893328
2.384,567.241,0.887268
2.388,565.100,0.894005
2.392,562.659,0.892388
2.396,559.738,0.887382
2.400,558.125,0.912039
2.404,557.355,0.930865
2.408,557.346,0.938457
2.412,558.019,0.937052
2.416,558.038,0.935028
2.420,558.177,0.938205
2.424,557.778,0.938073
2.428,557.552,0.933316
2.432,557.406,0.934596
2.436,558.144,0.927340
2.440,559.047,0.923053
2.444,560.063,0.904684
2.448,560.803,0.909073
2.452,561.244,0.913889
2.456,561.068,0.912429
2.460,560.646,0.903866
2.464,560.686,0.897504
2.468,560.917,0.899121
2.472,561.395,0.906034
2.476,562.136,0.921806
2.480,562.863,0.924840
2.484,563.023,0.925896
2.488,562.368,0.919930
2.492,561.371,0.908576
2.496,560.318,0.900755
2.500,559.398,0.917827
2.504,558.779,0.922836
2.508,558.390,0.926679
2.512,558.521,0.924579
2.516,558.220,0.922160
2.520,558.086,0.921274
2.524,557.278,0.913245
2.528,556.650,0.877825
2.532,556.152,0.813640
2.536,513.491,0.712665
2.540,445.685,0.568872
2.544,394.399,0.409397
2.548,372.288,0.496216
2.552,372.780,0.518161
2.556,373.276,0.523653
2.560,373.217,0.577540
2.564,373.247,0.650420
2.568,374.011,0.559834
2.572,375.117,0.650494
2.576,375.337,0.704395
2.580,375.758,0.730811
2.584,375.466,0.758407
2.588,375.186,0.761086
2.592,374.917,0.756173
2.596,374.777,0.759751
2.600,374.760,0.776038
2.604,374.762,0.766500
2.608,374.815,0.788448
2.612,375.067,0.829149
2.616,375.277,0.807194
2.620,375.282,0.797497
2.624,375.311,0.785341
2.628,375.486,0.796604
2.632,375.205,0.783113
2.636,374.941,0.771851
2.640,374.611,0.720869
2.644,374.485,0.719710
2.648,374.613,0.716729
2.652,374.652,0.715598
2.656,374.485,0.676985
2.660,374.488,0.692959
2.664,335.848,0.668332
2.668,301.127,0.656681
2.672,271.172,0.709555
2.676,241.253,0.699299
2.680,206.582,0.674924
2.684,186.542,0.673714
2.688,186.619,0.671628
2.692,186.430,0.682539
2.696,186.427,0.678693
2.700,186.448,0.680264
2.704,186.457,0.676974
2.708,186.297,0.742708
2.712,186.299,0.757513
2.716,186.552,0.762240
2.720,186.465,0.768039
2.724,186.320,0.775597
2.728,186.320,0.727402
2.732,186.451,0.698704
2.736,186.059,0.685116
2.740,185.857,0.632579
2.744,185.664,0.548523
2.748,185.706,0.389811
2.752,185.589,0.248053
2.756,209.868,0.132319
2.760,237.211,0.356420
2.764,237.065,0.493760
2.768,236.872,0.615543
2.772,237.413,0.749911
2.776,237.300,0.810069
2.780,236.992,0.827993
2.784,236.983,0.861930
2.788,236.989,0.890580
2.792,237.148,0.907325
2.796,237.110,0.913292
2.800,237.070,0.915513
