time,frequency,confidence
2.264,247.359,0.391961
2.268,247.956,0.656660
2.272,248.137,0.776880
2.276,248.168,0.833240
2.280,247.990,0.883197
2.284,248.018,0.911257
2.288,248.064,0.919265
2.292,248.066,0.923320
2.296,248.007,0.920158
2.300,248.022,0.920818
2.304,247.905,0.921518
2.308,247.816,0.920922
2.312,247.586,0.918597
2.316,247.399,0.907528
2.320,247.317,0.885861
2.324,247.182,0.855620
2.328,246.887,0.819968
2.332,246.557,0.813647
2.336,246.555,0.786902
2.340,246.593,0.715672
2.344,246.445,0.632112
2.348,245.970,0.421130
2.352,269.363,0.333857
2.356,291.624,0.621943
2.360,293.271,0.723177
2.364,294.261,0.815756
2.368,294.732,0.861248
2.372,295.169,0.880855
2.376,295.859,0.900510
2.380,296.567,0.905257
2.384,297.145,0.940636
2.388,297.313,0.953559
2.392,297.781,0.963162
2.396,297.853,0.966128
2.400,297.903,0.966927
2.404,297.877,0.966389
2.408,297.854,0.967188
2.412,297.460,0.959888
2.416,297.251,0.955066
2.420,296.793,0.933143
2.424,296.211,0.942210
2.428,295.809,0.938981
2.432,295.172,0.930548
2.436,294.958,0.913614
2.440,294.877,0.884220
2.444,295.017,0.857225
2.448,295.070,0.814820
2.452,294.503,0.719398
2.456,293.170,0.501686
2.460,283.315,0.474833
2.464,276.528,0.644733
2.468,274.202,0.761141
2.472,273.320,0.832281
2.476,273.582,0.877017
2.480,274.271,0.913322
2.484,274.815,0.932259
2.488,275.271,0.938649
2.492,275.639,0.940191
2.496,275.926,0.944345
2.500,276.038,0.943205
2.504,276.042,0.942242
2.508,276.005,0.943046
2.512,275.928,0.944084
2.516,275.944,0.942620
2.520,275.786,0.945923
2.524,275.518,0.948904
2.528,275.111,0.951823
2.532,274.797,0.948534
2.536,274.645,0.942345
2.540,274.617,0.932768
2.544,274.573,0.918917
2.548,274.991,0.902036
2.552,275.463,0.852963
2.556,276.755,0.739269
2.560,280.371,0.611200
2.564,263.651,0.407238
2.568,245.891,0.603985
2.572,245.962,0.779271
2.576,245.987,0.833707
2.580,245.925,0.885979
2.584,245.839,0.909541
2.588,245.956,0.920221
2.592,245.883,0.927651
2.596,245.896,0.929714
2.600,245.970,0.926806
2.604,246.044,0.924548
2.608,246.066,0.922353
2.612,246.057,0.921374
2.616,246.019,0.925828
2.620,246.105,0.921129
2.624,246.261,0.909336
2.628,246.437,0.887599
2.632,246.594,0.859679
2.636,246.624,0.825262
2.640,246.425,0.806318
2.644,246.213,0.770512
2.648,245.979,0.699837
2.652,245.966,0.537602
2.656,246.218,0.342372
2.660,272.203,0.234720
2.664,273.098,0.392051
2.668,272.415,0.389961
2.672,272.575,0.357044
2.676,255.777,0.300307
2.680,234.138,0.563649
2.684,233.871,0.775846
2.688,233.992,0.852552
2.692,233.952,0.888174
2.696,233.873,0.899187
2.700,233.671,0.882672
2.704,233.592,0.874966
2.708,233.924,0.875276
2.712,234.075,0.880691
2.716,234.264,0.878376
2.720,234.454,0.874746
2.724,234.577,0.863058
2.728,235.052,0.823762
2.732,235.544,0.772706
2.736,236.022,0.740768
2.740,236.558,0.690539
2.744,237.495,0.620581
2.748,240.576,0.451136
2.752,246.179,0.312615
2.756,269.543,0.446205
2.760,271.375,0.678233
2.764,273.200,0.794128
2.768,273.447,0.865064
2.772,274.498,0.911822
2.776,275.250,0.925913
2.780,275.807,0.931045
2.784,276.446,0.919465
2.788,276.714,0.924982
